;;;Total;C1: Security Apparatus;C2: Factionalized Elites;C3: Group Grievance;E1: Economy;E2: Economic Inequality;E3: Human Flight and Brain Drain;P1: State Legitimacy;P2: Public Services;P3: Human Rights;S1: Demographic Pressures;S2: Refugees and IDPs;X1: External Intervention
Comoros;47th;47th;81.7;5.3;8.0;5.1;7.3;8.0;7.1;8.1;7.7;6.0;8.0;5.2;5.9
Djibouti;48th;48th;81.6;5.0;7.7;5.6;6.9;7.1;3.9;8.9;7.9;7.6;6.8;6.9;7.3
Russia;48th;48th;81.6;8.6;8.9;7.9;6.7;5.1;3.8;9.3;4.7;9.4;4.9;4.5;7.8
Zambia;50th;50th;81.2;3.9;5.6;6.2;8.0;8.8;6.0;6.8;7.6;8.2;9.6;4.6;5.9
Togo;51st;51st;81.1;5.5;7.6;6.9;6.7;8.1;6.2;7.5;7.9;6.6;7.5;5.6;5.0
Malawi;52nd;52nd;80.5;4.0;8.7;3.8;7.9;7.5;6.1;7.2;7.9;4.8;9.3;6.1;7.2
Madagascar;53rd;53rd;79.8;5.8;7.8;3.7;7.4;8.9;5.6;6.8;9.3;5.7;9.4;4.7;4.7
Papua New Guinea;54th;54th;78.8;7.0;7.1;5.0;6.8;7.9;5.8;5.7;9.2;7.0;7.6;5.0;4.7
Cambodia;55th;55th;78.6;6.1;8.7;5.3;5.5;6.3;5.7;9.2;7.1;8.4;5.9;3.7;6.7
Honduras;56th;56th;78.1;6.5;7.0;4.6;6.0;6.7;6.8;6.7;7.5;7.8;6.6;5.9;6.0
Nepal;57th;57th;78.0;5.2;8.8;8.9;5.2;5.0;6.1;6.3;6.8;6.0;7.8;6.3;5.6
Eswatini;58th;58th;77.6;4.2;6.8;1.9;9.1;7.5;5.7;8.8;7.4;8.2;8.4;3.8;5.8
Solomon Islands;58th;58th;77.6;4.7;8.7;5.2;5.8;7.3;5.6;5.9;8.2;4.3;7.2;4.7;10.0
Nicaragua;60th;60th;76.7;5.3;7.1;6.0;5.7;6.7;7.0;9.3;6.6;7.6;4.7;4.8;5.9
Gambia;61st;61st;76.1;5.4;7.7;2.5;7.7;6.2;6.8;6.1;7.8;7.0;8.2;5.5;5.2
Tanzania;62nd;62nd;75.7;4.3;6.5;5.2;5.7;7.5;6.3;6.6;8.1;5.3;8.8;5.9;5.5
Colombia;63rd;63rd;75.6;6.5;7.6;6.9;6.3;6.2;4.5;5.0;5.7;7.3;7.5;7.5;4.6
